data_status,scenario,indicator,value,sd,lower_1sd,upper_1sd,proposed_value,absolute_loss_vs_proposed,relative_loss_vs_proposed
经过处理的数据 / processed data; not author-run logs,Proposed,Social reliability,0.942,0.006,0.9359999999999999,0.948,0.942,0.0,0.0
经过处理的数据 / processed data; not author-run logs,No-Marketing,Social reliability,0.885,0.012,0.873,0.897,0.942,0.05699999999999994,0.060509554140127327
经过处理的数据 / processed data; not author-run logs,No-Processing,Social reliability,0.724,0.025,0.699,0.749,0.942,0.21799999999999997,0.2314225053078556
经过处理的数据 / processed data; not author-run logs,Traditional,Social reliability,0.625,0.038,0.587,0.663,0.942,0.31699999999999995,0.3365180467091295
经过处理的数据 / processed data; not author-run logs,Proposed,Economic efficiency,0.938,0.009,0.9289999999999999,0.947,0.938,0.0,0.0
经过处理的数据 / processed data; not author-run logs,No-Marketing,Economic efficiency,0.825,0.018,0.8069999999999999,0.843,0.938,0.11299999999999999,0.12046908315565032
经过处理的数据 / processed data; not author-run logs,No-Processing,Economic efficiency,0.684,0.035,0.649,0.7190000000000001,0.938,0.2539999999999999,0.27078891257995724
经过处理的数据 / processed data; not author-run logs,Traditional,Economic efficiency,0.582,0.05,0.5319999999999999,0.632,0.938,0.356,0.3795309168443497
经过处理的数据 / processed data; not author-run logs,Proposed,Ecological security,0.999,0.002,0.997,1.001,0.999,0.0,0.0
经过处理的数据 / processed data; not author-run logs,No-Marketing,Ecological security,0.942,0.017,0.9249999999999999,0.959,0.999,0.05700000000000005,0.05705705705705711
经过处理的数据 / processed data; not author-run logs,No-Processing,Ecological security,0.895,0.027,0.868,0.922,0.999,0.10399999999999998,0.10410410410410409
经过处理的数据 / processed data; not author-run logs,Traditional,Ecological security,0.824,0.039,0.7849999999999999,0.863,0.999,0.17500000000000004,0.17517517517517522
