region_id,province_code,province_en,province_zh,region_share_proxy,digital_index_proxy,workforce_proxy_people,cold_capacity_proxy_tonnes,power_capacity_proxy_kw,mapping_note,data_status
r01,CN-BJ,Beijing,北京,0.05515001528707826,0.8715945197618833,651546.1168071742,1766056.3763646246,1000094.3443271765,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r02,CN-TJ,Tianjin,天津,0.05286603868483239,0.902636967927048,571268.8543976147,1657742.0583315326,1063574.816291669,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r03,CN-HE,Hebei,河北,0.041837722260758846,0.9125215100681507,426671.9840904591,1284085.3844734987,747768.0110176979,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r04,CN-SX,Shanxi,山西,0.04210730252062003,0.8687815534103528,472251.3899776165,1264342.75388117,735032.6404570927,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r05,CN-NM,Inner Mongolia,内蒙古,0.05221362642167342,0.8536831455316404,598140.0057903939,1533061.203709528,1035932.0209654227,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r06,CN-LN,Liaoning,辽宁,0.04414901885289024,0.8326766120798901,580954.0718862708,1266898.566324395,811840.5549216125,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r07,CN-JL,Jilin,吉林,0.03594748469832325,0.8452625184478366,410524.2661301078,1007629.5621547697,723735.5637490759,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r08,CN-HL,Heilongjiang,黑龙江,0.04141314302051308,0.7672091985536691,488685.8047665161,1133280.5104378248,772925.4136496994,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r09,CN-SH,Shanghai,上海,0.04575350561189124,0.8236783715673804,580911.4133750133,1221612.9192286504,899965.1838710794,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r10,CN-JS,Jiangsu,江苏,0.04358052190838587,0.6930065164429888,505068.1835816982,1134597.6989740615,862726.890377658,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r11,CN-ZJ,Zhejiang,浙江,0.03358401469773325,0.7980870392447718,378827.3354838619,851997.9653753614,654728.5305392989,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r12,CN-AH,Anhui,安徽,0.03700651360987694,0.7636869397361422,409179.3295375058,914201.130096449,726041.100139937,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r13,CN-FJ,Fujian,福建,0.03130421248837167,0.6392608698719895,332412.3280616791,752504.0475052511,560937.2572346637,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r14,CN-JX,Jiangxi,江西,0.037988153872838916,0.673401379475816,453207.60107136203,887899.6132601189,701395.0245607767,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r15,CN-SD,Shandong,山东,0.031046845492066894,0.6471659495304981,380071.6249390746,705002.5643913081,581829.8823822396,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r16,CN-HA,Henan,河南,0.03717671226157821,0.7369182196968678,433716.4556252219,819461.7886694223,702312.3891192329,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r17,CN-HB,Hubei,湖北,0.0292164458142713,0.6513480149348244,374753.23211780586,624559.3628371947,587379.8423416559,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r18,CN-HN,Hunan,湖南,0.0313667894151585,0.5744586464166167,349300.7598615566,649656.9427442645,592471.4005945753,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r19,CN-GD,Guangdong,广东,0.02892183133458269,0.6318033931043041,334713.8281726302,579774.4174877863,529174.2977163928,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r20,CN-GX,Guangxi,广西,0.025598359984382774,0.5791818231110601,271424.14281422785,496119.0848587859,510019.9975933949,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r21,CN-HI,Hainan,海南,0.021969007431234307,0.6416860076867712,274322.41535170155,411161.6463849504,440104.9479166427,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r22,CN-CQ,Chongqing,重庆,0.02476587535483139,0.580378740612527,308935.8438390641,447028.24211097317,439943.44747418456,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r23,CN-SC,Sichuan,四川,0.022875031163627758,0.5056218533497261,239682.84792080175,397678.00690371083,410987.0035460712,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r24,CN-GZ,Guizhou,贵州,0.027203291352390798,0.6222092256941605,360279.36375331465,454823.938324087,539660.9705568755,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r25,CN-YN,Yunnan,云南,0.02322410947419216,0.4815683212710874,284122.0537675518,372841.78410961194,471154.72192583425,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r26,CN-XZ,Tibet,西藏,0.01973543020792502,0.48815883171375496,199218.86662990725,303703.0309622417,369086.96505644696,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r27,CN-SN,Shaanxi,陕西,0.01794437815521084,0.5123833642682362,179822.02797266233,264201.52233587985,341275.5383390792,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r28,CN-GS,Gansu,甘肃,0.018613996368883192,0.571404276192481,196191.38792125433,261675.50503359202,343321.56225335127,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r29,CN-QH,Qinghai,青海,0.016616793216606786,0.5173071504287805,175064.82028669296,222542.6456095911,326063.53700724954,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r30,CN-NX,Ningxia,宁夏,0.01457231075986462,0.4895526645920944,161547.89825799922,185465.77592058064,278122.8349016702,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
r31,CN-XJ,Xinjiang,新疆,0.014251518277405333,0.38436980275836097,191516.5007062977,171900.5431102269,278727.90959364764,NBS standard province order assigned for reconstruction; original r-index order unavailable,calibrated reconstruction; not historical author input
