data_status,algorithm,point_id,F1,F2,F3,non_dominated,distance_to_ideal
经过处理的数据 / processed data; not author-run logs,IA-NSGA-III,1,0.5601621200890676,0.794693106376239,0.6122470499927897,True,0.6212572988812898
经过处理的数据 / processed data; not author-run logs,IA-NSGA-III,2,0.5148209093333407,0.614646948156921,0.7618990028726137,False,0.6637678882093927
经过处理的数据 / processed data; not author-run logs,IA-NSGA-III,3,0.6585956846463558,0.597263449816065,0.7248877279568177,False,0.5953489712974314
经过处理的数据 / processed data; not author-run logs,IA-NSGA-III,4,0.6766421070986022,0.6560271587548526,0.8751774310145432,False,0.48832193903614485
经过处理的数据 / processed data; not author-run logs,IA-NSGA-III,5,0.8614520486315934,0.5287888051667445,0.791756720347887,False,0.533479885735943
经过处理的数据 / processed data; not author-run logs,IA-NSGA-III,6,0.5637632375556908,0.5866712184074352,0.7274052367013393,False,0.6598871870089157
经过处理的数据 / processed data; not author-run logs,IA-NSGA-III,7,0.2301608618932829,0.7528727428700379,0.4775783569536881,False,0.9626258634073155
经过处理的数据 / processed data; not author-run logs,IA-NSGA-III,8,0.4900928765821642,0.7597407716340462,0.6612529727533251,True,0.6576315988421748
经过处理的数据 / processed data; not author-run logs,IA-NSGA-III,9,0.8225204908613724,0.4718621781694869,0.5798227695450506,False,0.6978376888680909
经过处理的数据 / processed data; not author-run logs,IA-NSGA-III,10,0.4278484822185217,0.6390637716564105,0.735643195638944,False,0.7263035455252402
经过处理的数据 / processed data; not author-run logs,IA-NSGA-III,11,0.1885572327912239,0.7601143815051844,0.5648946081078037,False,0.9514731611925467
经过处理的数据 / processed data; not author-run logs,IA-NSGA-III,12,0.8678083765743427,0.4171412158125293,0.9126603515622668,False,0.604009272940105
经过处理的数据 / processed data; not author-run logs,IA-NSGA-III,13,0.4069915317615815,0.8246385082746729,0.3615333308351558,True,0.8888477843911509
经过处理的数据 / processed data; not author-run logs,IA-NSGA-III,14,0.5374756801843346,0.630739451286814,0.6958803828926606,False,0.6654102800276097
经过处理的数据 / processed data; not author-run logs,IA-NSGA-III,15,0.6793035901169351,0.5796066704052457,0.6838796281748826,False,0.6160428786720133
